Country,Gold,Silver,Bronze,Total,Rank
Australia,6,7,9,22,6
Belgium,2,1,1,4,25
Brazil,1,2,4,7,16
Canada,2,2,9,13,11
China,15,14,17,46,2
Colombia,2,2,0,4,26
Croatia,2,1,0,3,29
Cuba,1,1,3,5,22
Czech Republic,1,0,5,6,19
Denmark,1,3,3,7,17
Fiji,1,0,0,1,33
France,7,8,7,22,7
Germany,8,5,4,17,9
Great Britain,15,16,8,39,3
Hungary,5,3,4,12,12
Iran,2,0,1,3,30
Italy,7,9,6,22,8
Jamaica,2,0,1,3,31
Japan,7,4,15,26,5
Kazakhstan,2,2,4,8,14
Kenya,1,3,0,4,27
Netherlands,5,2,3,10,13
New Zealand,2,6,0,8,15
North Korea,1,3,2,6,20
Norway,0,0,3,3,32
Poland,2,1,2,5,23
Russia,9,11,10,30,4
South Africa,1,5,1,7,18
South Korea,6,3,5,14,10
Spain,3,0,2,5,24
Sweden,1,4,1,6,21
Thailand,2,1,1,4,28
United States,26,21,23,70,1
